Tiêu đề,Số hiệu,Ngày ban hành,Nội dung,Tóm tắt
CHÍNH PHỦ-------,Số: 03/NQ-CP,"Hà Nội, ngày 09
  tháng 01 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:
- Sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật.
- Kết nối cộng đồng Dân Luật Việt Nam.

Nhằm:
- Giúp công chúng """.
- Cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần.

THƯ VIỆN PHÁP LUẬT cam kết dịch vụ sẽ được cung ứng bình thường trong mọi tình huống.","Văn bản là Nghị quyết 03/NQ-CP của Chính phủ ban hành chương trình hành động thực hiện Nghị quyết 57-NQ/TW của Bộ Chính trị về phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số quốc gia. Mục tiêu là thể chế hóa các quan điểm, mục tiêu, nhiệm vụ và giải pháp của Nghị quyết 57-NQ/TW, đưa khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số quốc gia là đột phá quan trọng hàng đầu, là động lực chính để phát triển đất nước."
ỦY BAN NHÂN DÂNTỈNH BẮC GIANG-------,Số: 3/2025/QĐ-UBND,"Bắc Giang, ngày
  09 tháng 01 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật và kết nối cộng đồng Dân Luật Việt Nam, nhằm giúp công chúng loại bỏ rủi ro pháp lý, nắm bắt cơ hội làm giàu và cùng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần.","Văn bản này là Quyết định số 3/2025/QĐ-UBND của UBND tỉnh Bắc Giang về việc ban hành quy chế quản lý, vận hành, khai thác và đảm bảo an toàn thông tin đối với Trung tâm Tích hợp Dữ liệu tỉnh. Quy chế này quy định các hoạt động quản lý, vận hành, khai thác và bảo đảm an toàn thông tin cho các hệ thống thông tin tại Trung tâm Tích hợp Dữ liệu tỉnh Bắc Giang, nhằm thúc đẩy chuyển đổi số và phát triển chính phủ số."
ỦY BAN NHÂN DÂNTỈNH BẮC GIANG-------,Số: 2/2025/QĐ-UBND,"Bắc Giang, ngày
  09 tháng 01 năm 2025","sử dụng công nghệcaođể tổ chức lại hệ thống văn bản pháp luật,
kết nối cộng đồngDân Luật Việt Nam,
nhằm:
Giúp công chúng“…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
cùng công chúng xây dựng, thụ hưởng mộtxã hội pháp quyền trong tương lai gần;","Quyết định số 2/2025/QĐ-UBND của UBND tỉnh Bắc Giang ban hành Quy chế quản lý, vận hành, khai thác Kho dữ liệu số của tỉnh, có hiệu lực từ 20/01/2025. Quy chế này quy định chi tiết về việc cung cấp, cập nhật, kết nối, chia sẻ và khai thác dữ liệu trong Kho dữ liệu số, nhằm phục vụ phát triển kinh tế - xã hội và công tác quản lý điều hành của tỉnh."
ỦY BAN NHÂN DÂNTỈNH GIA LAI-------,Số: 29/QĐ-UBND,"Gia Lai, ngày 09
  tháng 01 năm 2025","QUYẾT ĐỊNH
VỀ VIỆC CÔNG BỐ DANH MỤC GỒM GỒM 07 THỦ TỤC HÀNH CHÍNH MỚI, 09 THỦ TỤC HÀNH CHÍNH
BỊ BÃI BỎ THUỘC THẨM QUYỀN GIẢI QUYẾT CỦA SỞ NỘI VỤ; 07 THỦ TỤC HÀNH CHÍNH MỚI,
09 THỦ TỤC HÀNH CHÍNH BỊ BÃI BỎ THUỘC THẨM QUYỀN GIẢI QUYẾT CỦA ỦY BAN NHÂN DÂN
CÁC HUYỆN, THỊ XÃ, THÀNH PHỐ TRONG LĨNH VỰC QUẢN LÝ NHÀ NƯỚC VỀ QUỸ

Điều 1. Công bố kèm theo Quyết định này Danh mục gồm 07 thủ tục hành chính mới, 09 thủ tục hành chính bị bãi bỏ thuộc thẩm quyền giải quyết của Sở Nội vụ; 07 thủ tục hành chính mới, 09 thủ tục hành chính bị bãi bỏ thuộc thẩm quyền giải quyết của Ủy ban nhân dân các huyện, thị xã, thành phố trong lĩnh vực Quản lý nhà nước về Quỹ theo Quyết định số 817/QĐ-BNV ngày 20/11/2024 của Bộ trưởng Bộ Nội vụ.

Điều 2. Hiệu lực thi hành
1. Quyết định này có hiệu lực thi hành kể từ ngày ký.
2. Bãi bỏ thủ tục hành chính số 1 đến số 9 thuộc Phần II tại Phụ lục kèm theo Quyết định số 250/QĐ-UBND ngày 17/3/2021 của Chủ tịch Ủy ban nhân dân tỉnh về việc công bố Danh mục gồm 09 thủ tục hành chính mới, 09 thủ tục hành chính được sửa đổi, bổ sung thuộc thẩm quyền giải quyết của Sở Nội vụ và thủ tục hành chính số 8 đến số 16 tại Mục I, Phụ lục I kèm theo Quyết định số 1112/QĐ- UBND ngày 28/11/2019 của Chủ tịch Ủy ban nhân dân tỉnh về việc công bố Danh mục gồm 21 thủ tục hành chính mới và 01 TTHC bị bãi bỏ thuộc thẩm quyền giải quyết của UBND các huyện, thị xã, thành phố.

Điều 3. Tổ chức thực hiện
1. Sở Nội vụ có trách nhiệm:
a. Chủ trì, phối hợp với các cơ quan, đơn vị có liên quan tổ chức thực hiện cập nhật, công khai thủ tục hành chính đã được Chủ tịch Ủy ban nhân dân tỉnh công bố tại Điều 1 của Quyết định này trên Cơ sở dữ liệu quốc gia về thủ tục hành chính; niêm yết, công khai khai thủ tục hành chính mới thuộc thẩm quyền giải quyết và hủy công khai thủ tục hành chính bị bãi bỏ tại Trung tâm Phục vụ hành chính công, trên Trang thông tin điện tử của cơ quan, đơn vị; xây dựng, trình Chủ tịch Ủy ban nhân dân tỉnh phê duyệt quy trình nội bộ giải quyết thủ tục hành chính.
b. Phê duyệt quy trình nội bộ giải quyết thủ tục hành chính thuộc thẩm quyền của Ủy ban nhân dân các huyện, thị xã, thành phố theo quy định.
2. Ủy ban nhân dân các huyện, thị xã, thành phố tổ chức thực hiện cập nhật, niêm yết, công khai thủ tục hành chính mới và hủy công khai thủ tục hành bị bãi bỏ tại Bộ phận Tiếp nhận và Trả kết quả, trên Trang thông tin điện tử của cơ quan, đơn vị.
3. Chánh Văn phòng Ủy ban nhân dân tỉnh, Giám đốc Sở Nội vụ, Chủ tịch Ủy ban nhân dân các huyện, thị xã, thành phố, Giám đốc Trung tâm Phục vụ hành chính công và các cơ quan, đơn vị, tổ chức, cá nhân có liên quan chịu trách nhiệm thi hành Quyết định này.

...Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;","Văn bản là Quyết định số 29/QĐ-UBND của UBND tỉnh Gia Lai về việc công bố danh mục thủ tục hành chính mới và bị bãi bỏ trong lĩnh vực quản lý nhà nước về quỹ, thuộc thẩm quyền giải quyết của Sở Nội vụ và UBND các huyện, thị xã, thành phố. Quyết định này có hiệu lực từ ngày ký và bãi bỏ một số thủ tục hành chính đã được công bố trước đó."
ỦY BAN NHÂN DÂNTỈNH PHÚ YÊN-------,Số: 27/QĐ-UBND,"Phú Yên, ngày 09
  tháng 01 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:

*   sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
*   và kết nối cộng đồng Dân Luật Việt Nam,

nhằm:

*   Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
*   và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;

Chúng tôi cam kết dịch vụ sẽ được cung ứng bình thường trong mọi tình huống.","Thư Viện Pháp Luật cam kết cung cấp dịch vụ ổn định và sử dụng công nghệ cao để tổ chức hệ thống văn bản pháp luật, kết nối cộng đồng Dân Luật Việt Nam. Mục tiêu là giúp công chúng giảm thiểu rủi ro pháp lý, nắm bắt cơ hội làm giàu và xây dựng xã hội pháp quyền. Đồng thời, Thư Viện Pháp Luật thông báo về việc lưu trữ và sử dụng thông tin khách hàng theo Nghị định 13/2023/NĐ-CP."
ỦY BAN NHÂN DÂNTỈNH BÌNH THUẬN-------,Số: 53/QĐ-UBND,"Bình Thuận, ngày
  09 tháng 01 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:

*   sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
*   và kết nối cộng đồng Dân Luật Việt Nam,

nhằm:

*   Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
*   và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;

Chúng tôi cam kết dịch vụ sẽ được cung ứng bình thường trong mọi tình huống.","Văn bản này là thông báo từ Thư Viện Pháp Luật gửi đến khách hàng, cam kết cung cấp dịch vụ ổn định và sử dụng công nghệ để tổ chức hệ thống văn bản pháp luật, kết nối cộng đồng dân luật. Mục đích là giúp công chúng giảm thiểu rủi ro pháp lý và nắm bắt cơ hội làm giàu, hướng tới xây dựng một xã hội pháp quyền."
BỘ Y TẾ-------,Số: 02/2025/TT-BYT,"Hà Nội, ngày 09
  tháng 01 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là: sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật, và kết nối cộng đồng Dân Luật Việt Nam, nhằm: Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”, và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;","Văn bản là thông báo của Thư Viện Pháp Luật về việc tiếp tục cung cấp dịch vụ bình thường và cam kết sử dụng công nghệ cao để tổ chức hệ thống văn bản pháp luật, kết nối cộng đồng Dân Luật Việt Nam. Mục tiêu là giúp công chúng giảm thiểu rủi ro pháp lý và nắm bắt cơ hội làm giàu, đồng thời xây dựng một xã hội pháp quyền."
"BỘ GIAO THÔNG VẬN
  TẢI-------",Số: 03/2025/TT-BGTVT,"Hà Nội, ngày 09
  tháng 01 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:
*   sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
*   và kết nối cộng đồng Dân Luật Việt Nam,

nhằm:

*   Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
*   và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;

Thông tư 03/2025/TT-BGTVT sửa đổi, bổ sung một số điều của Thông tư số 19/2021/TT-BGTVT ngày 14 tháng 9 năm 2021 của Bộ trưởng Bộ Giao thông vận tải quy định về tổ chức và hoạt động của Cảng vụ hàng hải.

**Điều 1. Sửa đổi, bổ sung một số điều của Thông tư số 19/2021/TT-BGTVT:**

*   Sửa đổi, bổ sung khoản 1 và khoản 2 Điều 3: Cảng vụ hàng hải là tổ chức hành chính tương đương chi cục thuộc Cục Hàng hải Việt Nam, thực hiện nhiệm vụ quản lý nhà nước về hàng hải tại cảng biển và khu vực quản lý được giao. Cảng vụ hàng hải có tư cách pháp nhân, có trụ sở riêng, được sử dụng con dấu riêng, được mở tài khoản tại Kho bạc Nhà nước và tại Ngân hàng thương mại (nếu cần) theo quy định.
*   Bổ sung Điều 3a vào sau Điều 3: Phạm vi quản lý nhà nước của Cảng vụ hàng hải theo quy định của Bộ trưởng Bộ Giao thông vận tải về công bố vùng nước cảng biển, khu vực hàng hải và khu vực quản lý của Cảng vụ hàng hải (trừ cảng, bến thủy nội địa, khu neo đậu trong vùng nước cảng biển đã được Bộ Giao thông vận tải giao Cảng vụ thuộc Cục Đường thủy nội địa Việt Nam hoặc giao, phân cấp cho Cảng vụ đường thủy nội địa thuộc Sở Giao thông vận tải hoặc cơ quan, đơn vị được Ủy ban nhân dân cấp tỉnh giao thực hiện tại địa phương chưa có tổ chức Cảng vụ đường thủy nội địa trực thuộc Sở Giao thông vận tải).
*   Sửa đổi, bổ sung một số điểm, khoản của Điều 4:
    *   Tham gia xây dựng hoặc đề xuất Cục Hàng hải Việt Nam xây dựng, đề nghị cơ quan có thẩm quyền công bố tiêu chuẩn quốc gia, ban hành quy chuẩn kỹ thuật quốc gia và định mức kinh tế - kỹ thuật chuyên ngành hàng hải.
    *   Tuyên truyền, phổ biến, tổ chức thực hiện các quy định hiện hành có liên quan đến lĩnh vực hàng hải, các điều ước quốc tế về hàng hải mà nước Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên; các chiến lược, quy hoạch, kế hoạch, chương trình, dự án, đề án, tiêu chuẩn, quy chuẩn kỹ thuật và định mức kinh tế - kỹ thuật chuyên ngành hàng hải được cấp có thẩm quyền ban hành, công bố hoặc phê duyệt.
    *   Cấp phép, giám sát tàu thuyền đến, rời, hoạt động tại cảng biển và khu vực quản lý; không cho phép tàu thuyền đến, rời, hoạt động tại cảng biển và khu vực quản lý khi không có đủ điều kiện về an toàn hàng hải, an ninh hàng hải, lao động hàng hải, phòng chống cháy nổ và phòng ngừa ô nhiễm môi trường theo quy định của pháp luật Việt Nam và điều ước quốc tế mà nước Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên.
    *   Phê duyệt và tổ chức giám sát thực hiện phương án bảo đảm an toàn hàng hải trong vùng nước cảng biển theo quy định.
    *   Tham gia ý kiến việc cấp phép nuôi trồng thủy sản trong vùng nước cảng biển được giao theo quy định.
    *   Chấp thuận thiết lập báo hiệu hàng hải, đưa báo hiệu hàng hải vào sử dụng theo quy định; kiểm tra, giám sát luồng, hệ thống báo hiệu hàng hải và các hệ thống hỗ trợ hàng hải khác.
    *   Chủ trì điều phối hoạt động giao thông hàng hải tại cảng biển, khu vực quản lý và chủ trì phối hợp hoạt động tìm kiếm, cứu nạn trong vùng nước cảng biển; huy động người và các phương tiện cần thiết để thực hiện việc tìm kiếm, cứu nạn hoặc xử lý sự cố ô nhiễm môi trường.
    *   Tham gia xây dựng, thực hiện các chương trình, kế hoạch và nhiệm vụ biến đổi khí hậu, phát triển cảng xanh, tàu xanh và giảm phát thải khí nhà kính, chuyển đổi năng lượng xanh, sử dụng năng lượng tiết kiệm và hiệu quả trong lĩnh vực hàng hải.","Thư Viện Pháp Luật (TVPL) cam kết cung cấp dịch vụ ổn định, sử dụng công nghệ cao để tổ chức hệ thống văn bản pháp luật và kết nối cộng đồng Dân Luật. TVPL mong muốn giúp công chúng giảm thiểu rủi ro pháp lý và nắm bắt cơ hội làm giàu, đồng thời xây dựng một xã hội pháp quyền."
"CHÍNH
  PHỦ-------","Số:
  07/2025/NĐ-CP","Hà
  Nội, ngày 09 tháng 01 năm 2025","sử dụng công nghệcaođể tổ chức lại hệ thống văn bản pháp luật,
                và kết nối cộng đồngDân Luật Việt Nam,
                nhằm:
                Giúp công chúng“…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
                và cùng công chúng xây dựng, thụ hưởng mộtxã hội pháp quyền trong tương lai gần;","Nghị định 07/2025/NĐ-CP, có hiệu lực từ 09/01/2025, sửa đổi, bổ sung quy định về thủ tục chứng thực hợp đồng, giao dịch, cho phép người yêu cầu chứng thực xuất trình Căn cước điện tử thay cho các giấy tờ tùy thân khác. Nghị định này cũng sửa đổi, bổ sung một số điều của các Nghị định khác trong lĩnh vực hộ tịch, quốc tịch, chứng thực liên quan đến việc sử dụng Căn cước điện tử và kết nối, chia sẻ dữ liệu giữa các cơ sở dữ liệu."
"BỘ KẾ HOẠCH VÀ
  ĐẦU TƯ-------",Số: 33/QĐ-BKHĐT,"Hà Nội, ngày 09
  tháng 01 năm 2025","sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
kết nối cộng đồng Dân Luật Việt Nam,
nhằm:
Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;","Thư Viện Pháp Luật cam kết cung cấp dịch vụ bình thường và sử dụng công nghệ cao để tổ chức hệ thống văn bản pháp luật, kết nối cộng đồng Dân Luật Việt Nam. Mục tiêu là giúp công chúng giảm thiểu rủi ro pháp lý và nắm bắt cơ hội làm giàu, hướng tới xây dựng một xã hội pháp quyền."
"THỦ
  TƯỚNG CHÍNH PHỦ-------",Số: 63/QĐ-TTg,"Hà Nội, ngày 09
  tháng 01 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:
*   sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
*   và kết nối cộng đồng Dân Luật Việt Nam,

nhằm:

*   Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
*   và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;

Chúng tôi cam kết dịch vụ sẽ được cung ứng bình thường trong mọi tình huống.","Văn bản là thông báo từ Thư Viện Pháp Luật, khẳng định cam kết cung cấp dịch vụ ổn định và sử dụng công nghệ cao để tổ chức hệ thống văn bản pháp luật, kết nối cộng đồng Dân Luật Việt Nam. Mục đích là giúp công chúng giảm thiểu rủi ro pháp lý và nắm bắt cơ hội làm giàu, đồng thời xây dựng một xã hội pháp quyền."
"BỘ GIAO THÔNG VẬN
  TẢI-------",Số: 01/VBHN-BGTVT,"Hà Nội, ngày 09
  tháng 01 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:
*   sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
*   và kết nối cộng đồng Dân Luật Việt Nam,

nhằm:

*   Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
*   và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;

Chúng tôi cam kết dịch vụ sẽ được cung ứng bình thường trong mọi tình huống.","Văn bản là thông báo từ Thư Viện Pháp Luật gửi đến khách hàng, khẳng định cam kết cung cấp dịch vụ bình thường dù gặp khó khăn. Thư Viện Pháp Luật sử dụng công nghệ để tổ chức hệ thống văn bản pháp luật, kết nối cộng đồng Dân Luật, giúp công chúng giảm thiểu rủi ro pháp lý và nắm bắt cơ hội làm giàu, hướng tới xây dựng một xã hội pháp quyền."
ỦY BAN NHÂN DÂNTỈNH LẠNG SƠN-------,"Số:
  01/2025/QĐ-UBND","Lạng Sơn, ngày 09
  tháng 01 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:
*   sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
*   và kết nối cộng đồng Dân Luật Việt Nam,

nhằm:

*   Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
*   và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;

Chúng tôi cam kết dịch vụ sẽ được cung ứng bình thường trong mọi tình huống.","Thư Viện Pháp Luật cam kết cung ứng dịch vụ bình thường và sử dụng công nghệ cao để tổ chức hệ thống văn bản pháp luật, kết nối cộng đồng Dân Luật Việt Nam. Mục tiêu là giúp công chúng loại bỏ rủi ro pháp lý và nắm bắt cơ hội làm giàu, hướng tới một xã hội pháp quyền."
ỦY BAN NHÂN DÂNTỈNH NGHỆ AN-------,Số: 48/QĐ-UBND,"Nghệ An, ngày 09
  tháng 01 năm 2025",

THƯ VIỆN PHÁP LUẬT cam kết dịch vụ sẽ được cung ứng bình thường trong mọi tình huống.","Quyết định 48/QĐ-UBND của UBND tỉnh Nghệ An công bố danh mục thủ tục hành chính được sửa đổi, bổ sung, thay thế và bãi bỏ trong lĩnh vực đường bộ do Sở Giao thông vận tải quản lý. Quyết định này có hiệu lực từ ngày ký và bãi bỏ một số thủ tục hành chính đã được công bố trước đó."
ỦY BAN NHÂN DÂNTỈNH ĐẮK LẮK-------,Số: 38/QĐ-UBND,"Đắk Lắk, ngày 09
  tháng 01 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:
* sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
* và kết nối cộng đồng Dân Luật Việt Nam,
nhằm:
* Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
* và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;","Quyết định 38/QĐ-UBND của UBND tỉnh Đắk Lắk công bố danh mục thủ tục hành chính được sửa đổi, bổ sung trong lĩnh vực vật liệu nổ công nghiệp và tiền chất thuốc nổ thuộc thẩm quyền giải quyết của Sở Công Thương. Quyết định này giao Sở Công Thương trách nhiệm cung cấp thông tin và rà soát quy trình giải quyết thủ tục hành chính, có hiệu lực từ ngày ký và bãi bỏ một số nội dung công bố trước đó liên quan đến lĩnh vực này."
ỦY BAN NHÂN DÂNTHÀNH PHỐ HÀ NỘI-------,Số: 136/QĐ-UBND,"Hà Nội, ngày 09
  tháng 01 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:
*   sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
*   và kết nối cộng đồng Dân Luật Việt Nam,

nhằm:

*   Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
*   và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;

Chúng tôi cam kết dịch vụ sẽ được cung ứng bình thường trong mọi tình huống.","Văn bản tóm tắt thông báo của Thư Viện Pháp Luật về việc tiếp tục cung cấp dịch vụ bình thường và sứ mệnh hỗ trợ công chúng giảm thiểu rủi ro pháp lý, nắm bắt cơ hội làm giàu. Đồng thời, văn bản thông báo về việc lưu trữ và sử dụng thông tin khách hàng theo Nghị định 13/2023/NĐ-CP về Bảo vệ dữ liệu cá nhân, yêu cầu xác nhận sự đồng ý của thành viên."
ỦY BAN NHÂN DÂNTỈNH HÀ GIANG-------,Số: 40/QĐ-UBND,"Hà Giang, ngày 09
  tháng 01 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:
*   sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
*   và kết nối cộng đồng Dân Luật Việt Nam,

nhằm:

*   Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
*   và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;","Quyết định 40/QĐ-UBND của UBND tỉnh Hà Giang công bố danh mục các thủ tục hành chính được sửa đổi, bổ sung trong lĩnh vực du lịch thuộc ngành Văn hóa, Thể thao và Du lịch áp dụng trên địa bàn tỉnh. Quyết định này bao gồm danh mục thủ tục hành chính, quy trình nội bộ giải quyết thủ tục hành chính, thời gian giải quyết, cách thức thực hiện, địa điểm thực hiện, phí và căn cứ pháp lý."
ỦY BAN NHÂN DÂNTỈNH BẮC GIANG-------,Số: 39/QĐ-UBND,"Bắc Giang, ngày
  09 tháng 01 năm 2025",","Quyết định 39/QĐ-UBND tỉnh Bắc Giang công bố danh mục thủ tục hành chính được sửa đổi, bổ sung trong lĩnh vực vật liệu nổ công nghiệp và tiền chất thuốc nổ thuộc phạm vi quản lý của Sở Công Thương. Quyết định này giao trách nhiệm cho Giám đốc Sở Công Thương trong việc xây dựng quy trình nội bộ và phối hợp cập nhật quy trình điện tử trên hệ thống thông tin giải quyết thủ tục hành chính của tỉnh."
ỦY BAN NHÂN DÂNTỈNH KHÁNH HÒA-------,Số: 52/QĐ-UBND,"Khánh Hòa, ngày
  09 tháng 01 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:
*   Sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
*   Và kết nối cộng đồng Dân Luật Việt Nam,

Nhằm:

*   Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
*   Và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần.","Thư Viện Pháp Luật cam kết cung cấp dịch vụ ổn định, sử dụng công nghệ cao để tổ chức hệ thống văn bản pháp luật và kết nối cộng đồng Dân Luật. Mục tiêu là giúp công chúng giảm thiểu rủi ro pháp lý và nắm bắt cơ hội làm giàu, đồng thời xây dựng một xã hội pháp quyền."
ỦY BAN NHÂN DÂNTỈNH THÁI BÌNH-------,Số: 34/QĐ-UBND,"Thái Bình, ngày
  09 tháng 01 năm 2025","sử dụng công nghệcaođể tổ chức lại hệ thống văn bản pháp luật,
kết nối cộng đồngDân Luật Việt Nam,
Giúp công chúng“…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
cùng công chúng xây dựng, thụ hưởng mộtxã hội pháp quyền trong tương lai gần;","Quyết định 34/QĐ-UBND của UBND tỉnh Thái Bình phê duyệt danh mục dịch vụ công trực tuyến, thủ tục hành chính tại Trung tâm Trợ giúp pháp lý tỉnh và thủ tục hành chính thực hiện lưu động trong lĩnh vực tư pháp. Mục tiêu là tạo điều kiện thuận lợi cho người dân và doanh nghiệp trong việc tiếp cận các dịch vụ pháp lý, đồng thời đẩy mạnh cải cách thủ tục hành chính trên địa bàn tỉnh."
ỦY BAN NHÂN DÂNTHÀNH PHỐ HỒ CHÍ MINH-------,Số: 102/QĐ-UBND,"Thành phố Hồ Chí
  Minh, ngày 09 tháng 01 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:
*   sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
*   và kết nối cộng đồng Dân Luật Việt Nam,

nhằm:

*   Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
*   và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;

Chúng tôi cam kết dịch vụ sẽ được cung ứng bình thường trong mọi tình huống.","Thư Viện Pháp Luật cam kết cung cấp dịch vụ bình thường và tiếp tục sứ mệnh sử dụng công nghệ để tổ chức lại hệ thống văn bản pháp luật và kết nối cộng đồng Dân Luật Việt Nam. Mục đích là giúp công chúng giảm thiểu rủi ro pháp lý và nắm bắt cơ hội làm giàu, đồng thời xây dựng một xã hội pháp quyền."
BỘ TÀI CHÍNH-------,Số: 01/2025/TT-BTC,"Hà Nội, ngày 09
  tháng 01 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:

*   sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
*   và kết nối cộng đồng Dân Luật Việt Nam,

nhằm:

*   Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
*   và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;","Văn bản là Thông tư 01/2025/TT-BTC của Bộ Tài chính, quy định về chế độ quản lý, tính hao mòn, trích khấu hao tài sản kết cấu hạ tầng chợ là tài sản cố định do Nhà nước đầu tư, quản lý. Thông tư này có hiệu lực từ ngày 01/03/2025 và áp dụng từ năm tài chính 2025."
ỦY BAN NHÂN DÂNTỈNH ĐIỆN BIÊN-------,"Số:
  01/2025/QĐ-UBND","Điện Biên, ngày
  09 tháng 01 năm 2025","Sứ mệnh của THƯ VIỆN PHÁP LUẬT là:
*   Sử dụng công nghệ cao để tổ chức lại hệ thống văn bản pháp luật,
*   Và kết nối cộng đồng Dân Luật Việt Nam,

Nhằm:

*   Giúp công chúng “…loại rủi ro pháp lý, nắm cơ hội làm giàu…”,
*   Và cùng công chúng xây dựng, thụ hưởng một xã hội pháp quyền trong tương lai gần;

Chúng tôi cam kết dịch vụ sẽ được cung ứng bình thường trong mọi tình huống.","Quyết định 01/2025/QĐ-UBND của UBND tỉnh Điện Biên ban hành quy chế phối hợp xây dựng cơ sở dữ liệu, chia sẻ và cung cấp thông tin về nhà ở và thị trường bất động sản trên địa bàn tỉnh. Quy chế này quy định nguyên tắc, nội dung và trách nhiệm của các bên liên quan trong việc xây dựng và quản lý hệ thống thông tin bất động sản."
